point_number,point_type,x,y,yaw
1,map->robot,-4.961514252203555,14.979581221891298,-177.2934208359377
2,map->robot,-9.605785706950392,14.867413684486483,179.66337517419421
3,map->robot,-8.995824009193297,13.965680005135084,0.44320580391582354
4,map->robot,-4.588937718148404,13.949402313766534,-0.922528925004481
5,map->robot,-5.028105726118579,13.040514652697556,-177.70159849259534
6,map->robot,-9.490041286417394,12.835575402502649,-178.46612096023748
7,map->robot,-8.971488135279591,11.991502853476682,1.750274732443783
8,map->robot,-4.310973113464964,12.101816731335635,0.42490113358482795
9,map->robot,-5.003016227140376,12.171369382794282,-178.28712678023538
10,map->robot,-9.86708599588204,11.886004447314853,-177.04801335448775
11,map->robot,-8.963146769205448,10.985591034010268,-0.6207309519954377
12,map->robot,-4.4304191085198,10.996786482306202,-0.09405702525861646
13,map->robot,-5.000187046589053,13.010394995411605,-179.03104153504492
14,map->robot,-8.979996642972715,11.037454184801433,0.7956398783183269
15,map->robot,-0.7697234242857043,11.03002350140744,-0.7900788350857033
16,map->robot,-1.06768546570445,11.997538834652993,179.17343805152288
17,map->robot,-9.302771203603957,12.252217009612444,176.84014226733663
18,map->robot,-8.954969870559374,13.010604127616908,0.972347349454979
19,map->robot,-0.5944922132047523,12.91872200335563,-1.858905734869677
20,map->robot,-1.0270062363447803,13.980490139290595,-177.95398682805703
21,map->robot,-9.330479104257638,13.651961856828155,-178.122494756084
22,map->robot,-8.938588949755866,15.009757075069405,-0.204734612133582
23,map->robot,-0.6339761420345926,14.852360109194208,-1.7708370683794443
